Module,ASIC,Channel,Count,Gain,Offset,StraightFit,FullFit,Centre1,Centre2,Centre3,Centre4
0,0,123,18369,16.5049,-4251.62,2989.08,2606.42,450.872,569.671,587.604,611.559
0,0,124,18201,17.6299,-4568.92,376844,2038.04,443.35,562.505,585.139,559.068
0,0,125,18060,16.3083,-4188.25,594.921,2162.2,452.269,571.753,593.447,613.461
0,0,126,17792,16.3736,-3946.18,111.064,2250.58,435.323,556.425,575.613,595.534
0,0,127,17885,12.0057,-943.183,435409,11343.4,366.222,490.163,500.135,592.756
0,1,11,160497,15.6399,-3291.27,1211.41,94465.5,414.269,538.331,562.394,581.863
0,1,12,119466,15.6947,-3400.81,1132.99,39782.9,419.888,543.407,566.735,587.424
0,1,13,124500,15.5945,-3347.34,69.5704,44920.7,418.819,545.16,566.096,587.276
0,1,14,131388,1.60244,4570.31,165176,41953.9,-871.651,548.082,570.983,594.037
0,1,15,137051,15.3893,-3331.66,1781.53,45965.3,423.708,549.355,574.49,593.955
0,1,16,143013,-1.27758,6218.33,245824,50543.1,2369.76,556.711,579.909,598.046
0,1,17,140160,15.4622,-3438,638.548,33984.1,428.164,555.343,578.452,596.961
0,1,18,147690,15.5832,-3602.35,209.826,51914.7,435.274,562.859,582.75,603.463
0,1,19,143927,15.5517,-3455.18,447.756,52391.3,426.583,554.889,574.669,594.766
0,1,20,145179,15.4144,-3424.75,46.7828,47089.8,428.578,556.938,578.23,598.433
0,1,21,199397,1.04216,4891.62,182832,98255.8,-1645.28,547.362,569.326,589.166
0,1,28,199688,15.5477,-3379.42,512.864,106414,422.237,547.916,571.113,590.714
0,1,29,153247,2.80165,3865.69,138679,55358.3,-248.727,556.167,580.127,599.72
0,1,30,157284,3.64277,3431.22,116866,54500.8,-72.9461,541.496,565.461,586.938
0,1,31,148510,3.63987,3468.84,126273,47879.1,-82.9614,534.512,554.632,574.715
0,1,32,150350,2.87026,3817.48,135189,49226.1,-226.176,557.811,584.599,602.688
0,1,33,145511,3.37982,3558.11,125257,48946.6,-115.803,548.353,572.084,592.246
0,1,34,147682,15.5379,-3286.22,5255.95,53601.9,417.314,539.376,565.631,587.002
0,1,35,141203,15.5438,-3250.95,505.652,63552.4,414.153,539.654,562.614,583.022
0,1,36,135612,15.5613,-3310.12,1075.31,66661.3,417.675,542.393,565.315,586.912
0,1,37,127561,15.3685,-3137.61,5118.81,45359.7,412.005,535.899,563.643,582.354
0,1,38,178305,15.6115,-3527.86,1858.32,112227,430.276,554.011,578.813,598.192
0,1,89,200997,7.03332,1500.37,75207.7,118713,236.862,552.313,553.319,595.156
0,1,90,129869,14.7917,-2951.99,110472,50154.9,414.102,566.733,561.383,583.133
0,1,91,136150,15.9164,-3212.41,11923.4,75247,401.002,531.606,543.563,564.448
0,1,92,146603,15.9275,-3278.89,11075.5,72209.9,404.963,535.148,547.166,568.61
0,1,93,153654,15.4608,-2888.3,365542,64347.6,401.135,538.769,508.725,568.263
0,1,94,156928,15.5389,-2931.83,56846.5,65434.2,392.506,533.336,535.283,556.833
0,1,95,163487,16.2967,-3234.84,705706,81346.7,409.368,539.611,492.674,556.845
0,1,96,163242,16.7882,-3642.33,359481,71916,410.025,535.609,558.785,532.658
0,1,97,160765,15.7444,-3268.97,15949,75948.7,408.656,541.571,555.354,571.695
0,1,98,161182,15.4814,-3155.18,119739,75194.8,413.9,539.697,539.565,589.998
0,1,99,212622,15.8734,-3389.33,113253,120283,414.731,553.706,544.547,577.739
0,1,106,209209,12.9803,-2361.84,87446.8,159228,433.445,570.536,591.596,644.512
0,1,107,149692,18.3162,-4252.84,252451,85989,406.488,533.582,530.138,530.258
0,1,108,154808,11.6581,-1434.64,240508,66453.4,411.049,548.448,569.506,647.016
0,1,109,158095,14.7359,-2981.03,590.313,89236.5,418.083,552.561,575.619,595.018
